User ID,Gender,Age,EstimatedSalary,MaritalStatus,EducationLevel,EmploymentStatus,CreditScore,LoanAmount,NumOfDependents,HomeOwnership,MobileBankingUsage,AnnualExpenses,InternetUsagePerDay,Purchased
100000,Male,45,98353,Single,High School,Student,689,25564,1,Own,0,24708,3.42,0
100001,Female,24,51406,Divorced,PhD,Retired,687,43013,4,Mortgage,1,31138,4.14,0
100002,Male,52,108992,Divorced,PhD,Unemployed,394,20225,1,Rent,1,22928,4.95,1
100003,Male,45,71428,Single,Bachelor,Employed,729,39484,2,Rent,0,27235,6.42,0
100004,Male,31,43777,Divorced,High School,Employed,336,20946,0,Own,1,49189,6.87,0
100005,Female,27,77939,Single,PhD,Retired,692,29280,1,Own,1,30101,1.09,1
100006,Male,33,73026,Divorced,Master,Retired,590,43782,2,Mortgage,0,34590,7.28,1
100007,Male,33,106450,Married,High School,Unemployed,602,27295,1,Mortgage,1,43940,7.53,1
100008,Male,48,49553,Single,High School,Student,700,33700,2,Mortgage,0,26017,4.95,1
100009,Female,59,43548,Married,High School,Unemployed,643,48888,3,Rent,0,14941,1.9,0
100010,Male,42,83221,Single,PhD,Student,817,36536,2,Rent,1,60438,6.64,1
100011,Male,30,57265,Single,Bachelor,Unemployed,676,33609,4,Mortgage,1,67066,4.61,1
100012,Male,23,145549,Married,Bachelor,Employed,464,49509,2,Own,1,30416,6.63,1
100013,Male,26,60701,Married,Master,Employed,312,10751,1,Rent,0,23649,6.61,1
100014,Female,53,71287,Married,PhD,Student,324,9928,3,Rent,1,50648,1.15,1
100015,Male,37,26727,Single,High School,Unemployed,422,7142,3,Mortgage,0,13904,5.05,1
100016,Female,35,130460,Married,Master,Retired,428,46955,2,Own,1,46026,4.12,1
100017,Female,38,70717,Married,Master,Student,846,17257,1,Rent,0,30336,7.6,1
100018,Female,21,52427,Divorced,Bachelor,Employed,608,23650,3,Own,1,60439,2.72,1
100019,Male,50,36692,Divorced,High School,Student,735,39181,2,Rent,0,10260,2.05,1
100020,Female,44,51625,Married,High School,Unemployed,481,24212,2,Own,1,18657,7.23,0
100021,Male,24,44918,Married,PhD,Retired,342,3190,2,Own,1,62808,1.62,0
